date,newDeaths28DaysByDeathDate,newAdmissions,hospitalCases,hospitalDeaths,otherDeaths,newDischarges
2022-12-19,1,171.0,1103.0,1.0,0.0,
2022-12-18,7,117.0,1090.0,7.0,0.0,
2022-12-17,9,68.0,1051.0,8.0,1.0,
2022-12-16,12,85.0,1070.0,11.0,1.0,
2022-12-15,12,132.0,1039.0,11.0,1.0,
2022-12-14,11,115.0,1011.0,10.0,1.0,
2022-12-13,9,128.0,964.0,8.0,1.0,
2022-12-12,9,130.0,873.0,8.0,1.0,
2022-12-11,4,112.0,928.0,4.0,0.0,78.0
2022-12-10,7,83.0,907.0,7.0,0.0,83.0
2022-12-09,7,67.0,912.0,7.0,0.0,79.0
2022-12-08,9,82.0,895.0,8.0,1.0,74.0
2022-12-07,12,87.0,895.0,11.0,1.0,74.0
2022-12-06,10,82.0,870.0,9.0,1.0,71.0
2022-12-05,10,91.0,865.0,9.0,1.0,77.0
2022-12-04,7,65.0,862.0,7.0,0.0,62.0
2022-12-03,13,63.0,860.0,12.0,1.0,61.0
2022-12-02,9,54.0,857.0,8.0,1.0,58.0
2022-12-01,10,67.0,863.0,9.0,1.0,59.0
2022-11-30,10,80.0,900.0,9.0,1.0,63.0
2022-11-29,8,86.0,827.0,8.0,0.0,57.0
2022-11-28,11,108.0,786.0,10.0,1.0,54.0
2022-11-27,8,93.0,763.0,8.0,0.0,55.0
2022-11-26,13,42.0,766.0,12.0,1.0,53.0
2022-11-25,6,45.0,771.0,6.0,0.0,53.0
2022-11-24,13,66.0,778.0,12.0,1.0,53.0
2022-11-23,10,53.0,769.0,9.0,1.0,42.0
2022-11-22,10,66.0,762.0,9.0,1.0,49.0
2022-11-21,17,63.0,748.0,16.0,1.0,45.0
2022-11-20,5,53.0,761.0,5.0,0.0,45.0
2022-11-19,12,50.0,741.0,11.0,1.0,43.0
2022-11-18,13,50.0,753.0,12.0,1.0,44.0
2022-11-17,11,50.0,770.0,10.0,1.0,44.0
2022-11-16,4,45.0,820.0,4.0,0.0,52.0
2022-11-15,10,47.0,843.0,9.0,1.0,53.0
2022-11-14,11,65.0,871.0,10.0,1.0,60.0
2022-11-13,9,49.0,876.0,8.0,1.0,58.0
2022-11-12,14,58.0,859.0,13.0,1.0,59.0
2022-11-11,14,55.0,873.0,13.0,1.0,60.0
2022-11-10,6,82.0,878.0,6.0,0.0,64.0
2022-11-09,11,61.0,908.0,10.0,1.0,62.0
2022-11-08,11,70.0,906.0,10.0,1.0,62.0
2022-11-07,15,89.0,934.0,14.0,1.0,65.0
2022-11-06,6,62.0,948.0,6.0,0.0,68.0
2022-11-05,17,51.0,952.0,16.0,1.0,70.0
2022-11-04,13,33.0,995.0,12.0,1.0,71.0
2022-11-03,13,71.0,956.0,12.0,1.0,62.0
2022-11-02,13,72.0,1030.0,12.0,1.0,70.0
2022-11-01,24,104.0,1061.0,23.0,1.0,77.0
2022-10-31,10,82.0,1062.0,9.0,1.0,73.0
2022-10-30,13,103.0,1061.0,12.0,1.0,76.0
2022-10-29,15,67.0,1079.0,14.0,1.0,81.0
2022-10-28,14,62.0,1093.0,13.0,1.0,81.0
2022-10-27,13,109.0,1094.0,12.0,1.0,92.0
2022-10-26,21,98.0,1111.0,20.0,1.0,86.0
2022-10-25,19,86.0,1131.0,18.0,1.0,83.0
