date,newDeaths28DaysByDeathDate,newAdmissions,hospitalCases,hospitalDeaths,otherDeaths,newDischarges
2022-12-19,2,211.0,1156.0,2.0,0.0,
2022-12-18,8,263.0,1111.0,7.0,1.0,
2022-12-17,5,132.0,1044.0,5.0,0.0,
2022-12-16,10,135.0,1034.0,9.0,1.0,
2022-12-15,8,180.0,977.0,7.0,1.0,
2022-12-14,8,151.0,923.0,7.0,1.0,
2022-12-13,13,158.0,928.0,12.0,1.0,
2022-12-12,16,129.0,954.0,15.0,1.0,
2022-12-11,13,137.0,885.0,12.0,1.0,104.0
2022-12-10,11,106.0,850.0,10.0,1.0,104.0
2022-12-09,13,102.0,827.0,12.0,1.0,97.0
2022-12-08,8,108.0,832.0,7.0,1.0,96.0
2022-12-07,12,128.0,801.0,11.0,1.0,95.0
2022-12-06,9,113.0,759.0,8.0,1.0,83.0
2022-12-05,7,88.0,769.0,7.0,0.0,76.0
2022-12-04,10,96.0,743.0,9.0,1.0,76.0
2022-12-03,8,93.0,708.0,7.0,1.0,75.0
2022-12-02,14,78.0,703.0,13.0,1.0,74.0
2022-12-01,7,104.0,691.0,7.0,0.0,71.0
2022-11-30,9,85.0,665.0,8.0,1.0,66.0
2022-11-29,9,103.0,648.0,8.0,1.0,68.0
2022-11-28,9,80.0,634.0,8.0,1.0,63.0
2022-11-27,4,110.0,609.0,4.0,0.0,66.0
2022-11-26,11,92.0,591.0,10.0,1.0,68.0
2022-11-25,4,84.0,601.0,4.0,0.0,72.0
2022-11-24,16,78.0,622.0,15.0,1.0,72.0
2022-11-23,8,73.0,605.0,7.0,1.0,72.0
2022-11-22,11,79.0,666.0,10.0,1.0,79.0
2022-11-21,7,69.0,647.0,7.0,0.0,77.0
2022-11-20,14,79.0,625.0,13.0,1.0,72.0
2022-11-19,7,68.0,647.0,7.0,0.0,75.0
2022-11-18,11,56.0,662.0,10.0,1.0,71.0
2022-11-17,8,99.0,645.0,7.0,1.0,69.0
2022-11-16,11,112.0,642.0,10.0,1.0,76.0
2022-11-15,11,89.0,678.0,10.0,1.0,74.0
2022-11-14,13,81.0,662.0,12.0,1.0,76.0
2022-11-13,15,75.0,657.0,14.0,1.0,77.0
2022-11-12,10,56.0,694.0,9.0,1.0,78.0
2022-11-11,10,47.0,700.0,9.0,1.0,75.0
2022-11-10,12,77.0,741.0,11.0,1.0,80.0
2022-11-09,11,78.0,801.0,10.0,1.0,84.0
2022-11-08,10,86.0,778.0,9.0,1.0,75.0
2022-11-07,17,102.0,816.0,16.0,1.0,85.0
2022-11-06,12,102.0,814.0,11.0,1.0,90.0
2022-11-05,18,71.0,850.0,17.0,1.0,91.0
2022-11-04,15,50.0,885.0,14.0,1.0,95.0
2022-11-03,12,81.0,934.0,11.0,1.0,96.0
2022-11-02,14,83.0,991.0,13.0,1.0,96.0
2022-11-01,10,102.0,1057.0,9.0,1.0,111.0
2022-10-31,17,85.0,1149.0,16.0,1.0,117.0
2022-10-30,17,91.0,1202.0,16.0,1.0,122.0
2022-10-29,27,85.0,1246.0,25.0,2.0,124.0
2022-10-28,18,87.0,1298.0,17.0,1.0,131.0
2022-10-27,22,121.0,1375.0,21.0,1.0,140.0
2022-10-26,7,127.0,1419.0,7.0,0.0,145.0
2022-10-25,27,114.0,1521.0,25.0,2.0,150.0
2022-10-24,23,124.0,1615.0,21.0,2.0,155.0
2022-10-23,19,144.0,1626.0,18.0,1.0,156.0
2022-10-22,18,196.0,1641.0,17.0,1.0,169.0
2022-10-21,35,114.0,1677.0,33.0,2.0,168.0
2022-10-20,30,148.0,1715.0,28.0,2.0,165.0
2022-10-19,23,201.0,1750.0,21.0,2.0,173.0
2022-10-18,25,189.0,1813.0,23.0,2.0,178.0
2022-10-17,25,183.0,1781.0,23.0,2.0,168.0
2022-10-16,29,261.0,1745.0,27.0,2.0,177.0
2022-10-15,23,157.0,1746.0,21.0,2.0,169.0
2022-10-14,24,136.0,1714.0,22.0,2.0,164.0
2022-10-13,19,237.0,1667.0,18.0,1.0,166.0
2022-10-12,26,171.0,1700.0,24.0,2.0,161.0
2022-10-11,17,191.0,1689.0,16.0,1.0,152.0
2022-10-10,21,231.0,1621.0,20.0,1.0,154.0
2022-10-09,16,268.0,1612.0,15.0,1.0,160.0
2022-10-08,12,149.0,1551.0,11.0,1.0,152.0
2022-10-07,15,146.0,1563.0,14.0,1.0,161.0
2022-10-06,16,195.0,1570.0,15.0,1.0,163.0
2022-10-05,22,170.0,1553.0,21.0,1.0,156.0
2022-10-04,22,259.0,1473.0,21.0,1.0,155.0
2022-10-03,15,226.0,1427.0,14.0,1.0,158.0
2022-10-02,12,230.0,1332.0,11.0,1.0,141.0
2022-10-01,8,211.0,1243.0,7.0,1.0,147.0
2022-09-30,12,146.0,1166.0,11.0,1.0,134.0
2022-09-29,8,187.0,1047.0,7.0,1.0,116.0
2022-09-28,15,196.0,1022.0,14.0,1.0,120.0
2022-09-27,7,163.0,974.0,7.0,0.0,113.0
2022-09-26,11,144.0,879.0,10.0,1.0,95.0
2022-09-25,7,216.0,822.0,7.0,0.0,99.0
2022-09-24,5,134.0,731.0,5.0,0.0,88.0
2022-09-23,8,103.0,700.0,7.0,1.0,89.0
2022-09-22,7,118.0,641.0,7.0,0.0,87.0
